,DETOX,SMISEDSUD
AK,0.11,0.69
AL,0.2,0.48
AR,0.15,0.72
AZ,0.23,0.67
CA,0.39,0.54
CO,0.15,0.64
CT,0.18,0.77
DC,0.18,0.61
DE,0.16,0.82
FL,0.27,0.67
GA,0.26,0.6
HI,0.12,0.25
IA,0.12,0.63
ID,0.15,0.88
IL,0.18,0.54
IN,0.23,0.64
KS,0.14,0.51
KY,0.21,0.7
LA,0.35,0.61
MA,0.2,0.63
MD,0.24,0.57
ME,0.07,0.67
MI,0.18,0.65
MN,0.07,0.49
MO,0.21,0.71
MS,0.32,0.78
MT,0.09,0.72
NC,0.23,0.64
ND,0.22,0.37
NE,0.11,0.73
NH,0.2,0.46
NJ,0.17,0.68
NM,0.15,0.77
NV,0.37,0.79
NY,0.2,0.52
OH,0.29,0.62
OK,0.16,0.67
OR,0.16,0.45
PA,0.18,0.4
RI,0.37,0.59
SC,0.21,0.39
SD,0.12,0.53
TN,0.21,0.69
TX,0.29,0.53
UT,0.29,0.79
VA,0.23,0.73
VT,0.19,0.67
WA,0.11,0.49
WI,0.17,0.72
WV,0.32,0.83
WY,0.27,0.88
